      S-1:          S-2:          S-3:          S-4:          S-5:          S-6:          S-7:          S-8:          S-9:    
   2000.000000      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2095.796676      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2191.593353      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2287.390029      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2383.186706      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2478.983382      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2574.780059      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2670.576735      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2766.373412      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2862.170088      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000     -0.000000
   2957.966764      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000     -0.000000     -0.000000     -0.000000
   3053.763441      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3149.560117      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3245.356794      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3341.153470      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3436.950147      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3532.746823      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3628.543500      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3724.340176      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   3820.136852      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
